AATS3s,AATS3m,MATS2dv,GATS1c,SIC3,BDE,T,log10(k)
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,715.0,-11.64264327
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,720.0,-11.63597976
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,725.0,-11.62935034
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,730.0,-11.62275469
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,735.0,-11.61619253
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,740.0,-11.60966355
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,745.0,-11.60316745
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,750.0,-11.59670395
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,755.0,-11.59027275
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,760.0,-11.58387356
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,765.0,-11.57750611
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,770.0,-11.57117011
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,775.0,-11.56486528
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,780.0,-11.55859135
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,785.0,-11.55234805
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,790.0,-11.546135099999999
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,795.0,-11.53995224
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,800.0,-11.5337992
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,805.0,-11.52767573
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,810.0,-11.52158157
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,815.0,-11.51551646
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,820.0,-11.50948014
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,825.0,-11.50347238
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,830.0,-11.49749292
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,835.0,-11.49154151
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,840.0,-11.48561792
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,845.0,-11.4797219
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,850.0,-11.47385323
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,855.0,-11.46801166
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,860.0,-11.46219696
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,865.0,-11.45640891
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,870.0,-11.45064728
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,875.0,-11.44491185
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,880.0,-11.43920239
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,885.0,-11.43351868
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,890.0,-11.42786052
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,895.0,-11.42222768
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,900.0,-11.41661995
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,905.0,-11.41103713
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,910.0,-11.40547901
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,915.0,-11.39994538
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,920.0,-11.39443604
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,925.0,-11.38895079
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,930.0,-11.38348944
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,935.0,-11.37805178
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,940.0,-11.37263763
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,945.0,-11.36724679
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,950.0,-11.36187907
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,955.0,-11.35653429
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,960.0,-11.35121226
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,965.0,-11.34591279
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,970.0,-11.34063572
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,975.0,-11.33538085
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,980.0,-11.33014801
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,985.0,-11.32493703
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,990.0,-11.31974773
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,995.0,-11.31457994
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1000.0,-11.30943349
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1005.0,-11.30430822
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1010.0,-11.29920395
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1015.0,-11.29412053
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1020.0,-11.28905779
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1025.0,-11.28401558
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1030.0,-11.27899372
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1035.0,-11.27399207
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1040.0,-11.26901048
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1045.0,-11.26404878
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1050.0,-11.25910682
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1055.0,-11.25418446
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1060.0,-11.24928154
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1065.0,-11.24439793
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1070.0,-11.23953346
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1075.0,-11.23468801
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1080.0,-11.22986142
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1085.0,-11.22505356
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1090.0,-11.22026428
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1095.0,-11.21549345
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1100.0,-11.21074094
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1105.0,-11.206006599999998
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1110.0,-11.2012903
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1115.0,-11.19659191
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1120.0,-11.191911300000001
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1125.0,-11.18724834
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1130.0,-11.182602900000001
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1135.0,-11.17797485
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1140.0,-11.17336408
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1145.0,-11.16877045
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1150.0,-11.16419384
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1155.0,-11.15963412
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1160.0,-11.15509119
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1165.0,-11.15056492
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1170.0,-11.14605518
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1175.0,-11.14156188
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1180.0,-11.13708488
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1185.0,-11.13262407
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1190.0,-11.12817935
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1195.0,-11.12375059
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1200.0,-11.11933769
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1205.0,-11.11494054
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1210.0,-11.11055902
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1215.0,-11.10619304
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1220.0,-11.10184248
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1225.0,-11.09750723
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1230.0,-11.0931872
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1235.0,-11.08888228
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1240.0,-11.08459237
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1245.0,-11.08031736
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1250.0,-11.07605715
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1255.0,-11.07181165
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1260.0,-11.06758076
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1265.0,-11.06336437
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1270.0,-11.059162400000002
1.62,17.35595912,-0.264423077,1.336364536,0.803598715,84.33483396,1275.0,-11.05497474
